Problem,OffSuccessPct,OnSuccessPct,DeltaSuccessPct,OffMedian,OnMedian,OffMean,OnMean,OffStdDev,OnStdDev
Ackley 30D,0.0,100.0,100.0,0.0007182989,0.0,0.0007105064,0.0,0.000169052,0.0
Composition F2 30D,0.0,0.0,0.0,-5271.654,-5461.466,-5271.65,-4941.237,0.009799255,2159.019
Hybrid F2 30D,0.0,20.0,20.0,1.887298,0.004972703,3.622886,0.2890556,3.555918,0.6243172
Schwefel 2.22+R 50D,0.0,90.0,90.0,0.8951369,0.0,0.9291821,1.458348,0.2147151,7.853446
Shifted Rastrigin 30D,0.0,100.0,100.0,0.0001999503,0.0,0.0002476429,0.0,0.0002381904,0.0
Shifted Rosenbrock 30D,0.0,3.3,3.3,0.002404417,0.002209503,0.002890933,0.001935291,0.002516805,0.0008585733
