From\To,Global Explorer,Local Explorer,Exploiter,Refiner,Polisher
Global Explorer,0.000000,0.852941,0.132353,0.014706,0.000000
Local Explorer,0.048529,0.000000,0.805882,0.117647,0.027941
Exploiter,0.005462,0.247766,0.000000,0.636048,0.110725
Refiner,0.000000,0.023627,0.362670,0.000000,0.613703
Polisher,0.000431,0.018542,0.100043,0.880983,0.000000
