Source,0-5%,5-10%,10-15%,15-20%,20-25%,25-30%,30-35%,35-40%,40-45%,45-50%,50-55%,55-60%,60-65%,65-70%,70-75%,75-80%,80-85%,85-90%,90-95%,95-100%
GradientEstimation-Escape,0.376735,0.000000,0.000000,0.000000,0.000000,0.337182,0.958897,0.972063,0.953080,0.923612,0.847362,0.810335,0.701197,0.945569,0.899851,0.885376,0.900650,0.922398,0.924600,0.280386
Spray,0.531698,0.046574,0.041141,0.025046,0.008011,0.001359,0.000180,0.000036,0.000122,0.000356,0.000120,0.000000,0.000000,0.000000,0.000093,0.000000,0.000337,0.000000,0.000000,0.000000
JADE,0.086440,0.953426,0.958859,0.974954,0.991989,0.661125,0.040819,0.027718,0.045282,0.067420,0.141709,0.160501,0.214497,0.002642,0.000000,0.000000,0.000058,0.000000,0.000000,0.000000
Sniper,0.005126,0.000000,0.000000,0.000000,0.000000,0.000334,0.000104,0.000183,0.001516,0.008612,0.010809,0.029164,0.084306,0.051789,0.100056,0.114624,0.098955,0.077602,0.075400,0.719614
