Run,FinalBest,Success,TimeToSuccessMs,ActiveDurationMs,EventCount,LargeJumpCount,RoleEntropy,SourceEntropy,RoleShare_Global Explorer,RoleShare_Local Explorer,RoleShare_Exploiter,RoleShare_Refiner,RoleShare_Polisher
Run_1,0.0012967217051776101,False,,10025,887,3,1.660312446745943,1.004957140549023,0.0033821871476888386,0.0496054114994363,0.4069898534385569,0.42164599774520856,0.11837655016910936
Run_10,0.0014422485446934313,False,,9923,878,3,1.6025575375224967,0.9347780672418173,0.003416856492027335,0.04783599088838269,0.39863325740318906,0.45671981776765375,0.09339407744874716
Run_11,0.0012749422222823235,False,,9892,860,2,1.6071390181301979,0.9498458573603483,0.002325581395348837,0.05,0.40581395348837207,0.44651162790697674,0.09534883720930233
Run_12,0.0012438702729566542,False,,10028,1065,5,1.526798031144411,1.015464329803379,0.004694835680751174,0.027230046948356807,0.41220657276995304,0.4676056338028169,0.08826291079812207
Run_13,0.0014276192883666537,False,,10022,914,2,1.5549379723925607,1.0204616073076875,0.002188183807439825,0.047045951859956234,0.37199124726477023,0.49671772428884026,0.08205689277899343
Run_14,0.0013690896225681491,False,,9801,876,3,1.5518189011467278,1.0080718926450207,0.003424657534246575,0.04680365296803653,0.3995433789954338,0.476027397260274,0.07420091324200913
Run_15,0.0010995375432105129,False,,9835,877,5,1.5768278233922515,0.9626995690038964,0.005701254275940707,0.053591790193842644,0.314709236031927,0.540478905359179,0.08551881413911061
Run_16,0.0,True,3725,3717,220,4,0.9910987977596465,0.4068181829135204,0.01818181818181818,0.2409090909090909,0.7318181818181818,0.00909090909090909,0.0
Run_17,0.0014365588296640101,False,,9686,951,3,1.5466428365950289,0.9914142633334808,0.0031545741324921135,0.03680336487907466,0.3459516298633018,0.5184016824395373,0.09568874868559411
Run_18,0.001356570012688064,False,,10071,883,4,1.522226898530187,0.9514702522389948,0.004530011325028313,0.039637599093997736,0.3057757644394111,0.5605889014722537,0.08946772366930918
Run_19,0.0013978061026553928,False,,9847,875,3,1.624135909076457,0.9725786598967121,0.0034285714285714284,0.05714285714285714,0.3851428571428571,0.46285714285714286,0.09142857142857143
Run_2,0.0014397664695205464,False,,10044,877,4,1.6286851389539252,0.9673888709357722,0.004561003420752566,0.052451539338654506,0.3899657924743444,0.4572405929304447,0.09578107183580388
Run_20,0.0013804752436312932,False,,10033,873,2,1.5607585376507558,0.9799131220112353,0.002290950744558992,0.050400916380297825,0.40778923253150057,0.4639175257731959,0.07560137457044673
Run_21,0.0015123146181434217,False,,10020,869,2,1.5745113385633145,1.0206528634312473,0.0023014959723820483,0.04833141542002301,0.40276179516685845,0.4626006904487917,0.08400460299194476
Run_22,0.0003388454535453588,False,,9707,910,2,1.7416247755988201,0.6900148379047656,0.002197802197802198,0.06153846153846154,0.43956043956043955,0.33516483516483514,0.16153846153846155
Run_23,0.0015225712819324777,False,,10019,883,3,1.6096526811588463,1.014982308125617,0.0033975084937712344,0.04756511891279728,0.3941109852774632,0.4575311438278596,0.09739524348810873
Run_24,0.001739576390924378,False,,9786,770,3,1.525939809759081,1.0740285172424675,0.003896103896103896,0.05714285714285714,0.4753246753246753,0.4116883116883117,0.05194805194805195
Run_25,0.0,True,4565,4553,224,6,1.111092428801964,0.8258523237860941,0.026785714285714284,0.29017857142857145,0.6741071428571429,0.004464285714285714,0.004464285714285714
Run_26,0.00041701162748460216,False,,9983,675,4,1.578154406027594,0.03211644234894374,0.005925925925925926,0.07555555555555556,0.5377777777777778,0.32,0.06074074074074074
Run_27,0.0027231277991197696,False,,10063,642,3,1.5074444039119173,1.031516999759272,0.004672897196261682,0.06697819314641744,0.5420560747663551,0.3411214953271028,0.045171339563862926
Run_28,0.0,True,3231,3219,215,5,1.2389186929063045,0.35294508435915145,0.023255813953488372,0.3023255813953488,0.6372093023255814,0.037209302325581395,0.0
Run_29,0.0028938437519648607,False,,10026,674,4,1.5403005487629637,0.9827452612416818,0.005934718100890208,0.06231454005934718,0.5118694362017804,0.36795252225519287,0.05192878338278932
Run_3,0.00112366571984628,False,,10023,862,4,1.487875693584041,0.9205541258605128,0.004640371229698376,0.033642691415313224,0.3004640371229698,0.574245939675174,0.08700696055684455
Run_30,0.0019404563615244951,False,,9904,620,5,1.5406718372315358,0.9906711060557892,0.008064516129032258,0.07096774193548387,0.49516129032258066,0.3870967741935484,0.03870967741935484
Run_4,0.001573760086753302,False,,10029,990,4,1.5695006993332363,1.0516432345155078,0.00404040404040404,0.03232323232323232,0.4,0.4626262626262626,0.10101010101010101
Run_5,0.0013749400104657447,False,,10041,893,4,1.5766199565736243,0.9852987674758545,0.004479283314669653,0.04143337066069429,0.3314669652855543,0.5218365061590146,0.10078387458006718
Run_6,0.0014385269516368326,False,,10055,1087,3,1.5228623653203335,1.0272031909448498,0.0027598896044158236,0.029438822447102116,0.38822447102115915,0.48850045998160074,0.09107635694572216
Run_7,0.0010835234165250756,False,,10046,863,4,1.6255070311365105,0.9564960411206026,0.004634994206257242,0.05214368482039398,0.2989571263035921,0.5283893395133256,0.11587485515643106
Run_8,0.0013905593785166223,False,,10028,1159,3,1.5620060103821396,1.0257084316332226,0.0025884383088869713,0.0362381363244176,0.4098360655737705,0.45642795513373596,0.09490940465918896
Run_9,0.0013819362182757647,False,,10072,926,3,1.5731287716500242,1.0119778427282873,0.0032397408207343412,0.05075593952483801,0.38120950323974084,0.48488120950323976,0.07991360691144708
