Source,0-5%,5-10%,10-15%,15-20%,20-25%,25-30%,30-35%,35-40%,40-45%,45-50%,50-55%,55-60%,60-65%,65-70%,70-75%,75-80%,80-85%,85-90%,90-95%,95-100%
GradientEstimation-Escape,0.870757,1.000000,1.000000,1.000000,1.000000,0.956238,0.176822,0.149945,0.170674,0.240964,0.252377,0.166693,0.199352,0.249741,0.281937,0.310113,0.077355,0.002946,0.000301,0.145544
Sniper,0.014226,0.000000,0.000000,0.000000,0.000000,0.043762,0.822914,0.847156,0.829179,0.757937,0.747452,0.832422,0.800335,0.749433,0.718063,0.686892,0.922634,0.997054,0.998875,0.854456
Spray,0.082813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,0.000907,0.000000,0.000054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000802,0.000000
JADE,0.032204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000226,0.001992,0.000147,0.001045,0.000171,0.000884,0.000313,0.000825,0.000000,0.002995,0.000010,0.000000,0.000022,0.000000
