Run,FinalBest,Success,TimeToSuccessMs,ActiveDurationMs,EventCount,LargeJumpCount,RoleEntropy,SourceEntropy,RoleShare_Global Explorer,RoleShare_Local Explorer,RoleShare_Exploiter,RoleShare_Refiner,RoleShare_Polisher
Run_1,0.0012387874243954184,False,,9680,830,5,1.6327122174920194,0.953384254357639,0.006024096385542169,0.05783132530120482,0.38674698795180723,0.46265060240963857,0.08674698795180723
Run_10,0.0012313926374431514,False,,9893,832,5,1.629588147251716,0.9547411527085885,0.006009615384615385,0.056490384615384616,0.39302884615384615,0.4579326923076923,0.08653846153846154
Run_11,0.0010544197876596107,False,,10496,978,4,1.5650013169099708,0.9560995300745132,0.00408997955010225,0.041922290388548056,0.3323108384458078,0.5255623721881391,0.09611451942740286
Run_12,0.0,True,3220,3216,192,7,1.1660754418164991,0.4820661480830931,0.036458333333333336,0.2916666666666667,0.6614583333333334,0.005208333333333333,0.005208333333333333
Run_13,0.0013228140573419353,False,,9796,825,5,1.649226235650554,0.9518982723296265,0.006060606060606061,0.05333333333333334,0.33090909090909093,0.4993939393939394,0.1103030303030303
Run_14,0.0003353294550468166,False,,9987,858,5,1.5641632177520326,0.9939813544837606,0.005827505827505828,0.05128205128205128,0.30536130536130535,0.5512820512820513,0.08624708624708624
Run_15,0.0012650582948382943,False,,10034,828,5,1.5889288063634404,0.9820182451984056,0.006038647342995169,0.04589371980676329,0.2753623188405797,0.5579710144927537,0.11473429951690821
Run_16,0.0013572433003718805,False,,9654,882,4,1.6581305759147273,0.9810037428040366,0.0045351473922902496,0.05442176870748299,0.41383219954648526,0.4217687074829932,0.1054421768707483
Run_17,0.0012373215839276103,False,,9645,796,2,1.6218348240918128,0.9752046613867897,0.002512562814070352,0.06407035175879397,0.34296482412060303,0.49874371859296485,0.09170854271356783
Run_18,0.0,True,3173,3168,272,5,1.1661113174817734,0.37197468411289125,0.01838235294117647,0.20588235294117646,0.7205882352941176,0.051470588235294115,0.003676470588235294
Run_19,0.0011728490126523112,False,,9729,833,5,1.6409841768835127,0.9494811761633214,0.006002400960384154,0.055222088835534214,0.34933973589435774,0.4897959183673469,0.09963985594237695
Run_2,0.0013134318014312433,False,,9995,785,3,1.630198815240279,0.9498884080384558,0.003821656050955414,0.062420382165605096,0.35668789808917195,0.48662420382165605,0.09044585987261146
Run_20,0.0012809135331974353,False,,9888,838,5,1.6434809050952788,0.9431166781399948,0.0059665871121718375,0.05608591885441527,0.3317422434367542,0.5023866348448688,0.10381861575178998
Run_21,0.0013154414587754906,False,,10040,852,3,1.6477457244621976,0.9431547524063838,0.0035211267605633804,0.051643192488262914,0.352112676056338,0.47769953051643194,0.11502347417840375
Run_22,0.0012687793857337403,False,,10090,825,4,1.6467950988895217,0.9816159533789095,0.0048484848484848485,0.06666666666666667,0.3321212121212121,0.5018181818181818,0.09454545454545454
Run_23,0.0013100965747168576,False,,10056,844,4,1.5976147281171214,0.9381642747598322,0.004739336492890996,0.05568720379146919,0.31398104265402843,0.5319905213270142,0.09360189573459715
Run_24,0.001281231427921172,False,,9572,987,4,1.5417473344729187,1.0410013741855306,0.004052684903748734,0.04356636271529889,0.41134751773049644,0.4690982776089159,0.07193515704154002
Run_25,0.0012991858657718418,False,,9801,848,4,1.6107888483014312,0.9346480993507557,0.0047169811320754715,0.05188679245283019,0.3643867924528302,0.48702830188679247,0.09198113207547169
Run_26,0.0013065098973514151,False,,9582,831,3,1.6410798044527004,0.9345560032670921,0.0036101083032490976,0.05776173285198556,0.37545126353790614,0.4645006016847172,0.098676293622142
Run_27,0.0015507137501100739,False,,9816,973,4,1.5949265141874285,1.0062459866748108,0.0041109969167523125,0.04316546762589928,0.3751284686536485,0.4799588900308325,0.09763617677286741
Run_28,0.0012298622672990646,False,,10045,910,4,1.6347820557693433,0.9937801275654364,0.004395604395604396,0.04725274725274725,0.43626373626373627,0.4065934065934066,0.1054945054945055
Run_29,0.0010086975625673575,False,,10494,884,4,1.6011232959333197,0.9395437215824697,0.004524886877828055,0.05656108597285068,0.38009049773755654,0.47850678733031676,0.08031674208144797
Run_3,0.0013794672610781087,False,,9496,819,4,1.6105931588698128,0.9576335722576994,0.004884004884004884,0.05616605616605617,0.32722832722832723,0.5177045177045178,0.09401709401709402
Run_30,0.0012652486277571736,False,,9660,804,3,1.6554378295693042,0.9491849178549886,0.0037313432835820895,0.05970149253731343,0.3880597014925373,0.44776119402985076,0.10074626865671642
Run_4,0.0014210113787189384,False,,9699,782,4,1.5917846224472185,0.974913238598852,0.005115089514066497,0.04475703324808184,0.3618925831202046,0.4948849104859335,0.09335038363171355
Run_5,0.0009856798272277435,False,,10475,864,3,1.5813100418774957,0.918594776836462,0.003472222222222222,0.05439814814814815,0.3680555555555556,0.49421296296296297,0.0798611111111111
Run_6,0.0016708134771087656,False,,9494,781,4,1.5937676294166803,1.0008058824253856,0.005121638924455826,0.06145966709346991,0.40973111395646605,0.4558258642765685,0.0678617157490397
Run_7,0.0014651543783278952,False,,9699,793,4,1.6122090444950647,0.9637582549282442,0.005044136191677175,0.04665825977301387,0.4337957124842371,0.42118537200504413,0.09331651954602774
Run_8,0.0011653915161507393,False,,9952,815,5,1.4637563266250495,0.9627672343871939,0.006134969325153374,0.014723926380368098,0.3460122699386503,0.5398773006134969,0.09325153374233129
Run_9,0.0015541081914797706,False,,9896,872,2,1.557693645439699,1.008729309888771,0.0022935779816513763,0.03784403669724771,0.4369266055045872,0.4323394495412844,0.09059633027522936
