TimeMs,BestQuality,Source,Role,DeltaPct
5,20.450326608903847,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
5,20.12810834134197,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Exploiter,Exploiter,1.575614285894025
14,18.441633757511717,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,8.37870382665982
14,3.1143761144134747,HOG8-ML06-H2-GPS-Spray-Specialist-Global Explorer,Global Explorer,83.11225482858906
26,2.5469412423859557,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,18.219856920986665
32,0.17057358756615004,HOG8-ML06-H2-GPS-Spray-Specialist-Global Explorer,Global Explorer,93.30280633382976
42,0.09846457203059744,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,42.274432146529165
55,0.06964107591990798,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,29.272961346678766
66,0.049876438805253276,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,28.380717634784098
74,0.04695787747263269,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.851583237561027
86,0.04444020245745195,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.36156051058325
96,0.041556103834775815,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.489841322026908
105,0.03977402524168072,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.288367841654535
115,0.03773392195988423,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.129235146304951
125,0.03598644529158479,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.631049669730124
141,0.03553988986996304,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.2408989496002731
150,0.03468986305660282,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.3917542132808536
162,0.03352820343810281,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.34870050252015
171,0.033052037320512984,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.420195741978505
181,0.032419023122994606,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.915204776576699
191,0.03099551677602408,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.3909600285298005
201,0.030649360297513528,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.1167953127283001
211,0.02924625090808819,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.577940210840772
222,0.028648992323870193,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.04217144308511
245,0.02838540164915715,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,0.9200696196683366
255,0.027583248448156628,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.8259357077807636
265,0.026616001372755438,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.506646714288035
295,0.026234244533676065,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.4343132679206456
314,0.025195786580888058,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.9584061643359787
324,0.024927241286317514,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.0658341374198064
334,0.02397917008401551,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.8033538946902907
355,0.023396635511872876,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.429335836484814
385,0.022403339201951145,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.245466445026563
395,0.02222641528067415,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,0.7897212093346604
405,0.022050898160341337,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,0.7896780390197478
415,0.02128450867151388,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.475547722613008
431,0.02078214888110752,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.3602132337623205
441,0.020702395854443,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.3837573636912059
450,0.01937466711509872,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.413406200323103
471,0.018473140213441486,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.653122019085803
491,0.0183817993563804,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.4944522479974593
494,0.01821980819970692,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.8812584314127667
511,0.01802848432903703,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.0500871829867457
519,0.01783287352416041,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.0850097063432445
523,0.01765091160307053,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.0203735300615062
536,0.017582397825357976,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.38815999566070414
542,0.016645853839297065,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.326599906129945
552,0.016255664572046857,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.3440627979626933
566,0.01603610732877714,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.3506506750100413
573,0.015004466394860305,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.433237897239135
586,0.014789409747550497,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.4332842078507673
597,0.013612306904498883,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.959092777496222
606,0.01333870489295963,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.0099606441346665
617,0.011581229885781585,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,13.175754477525523
626,0.011543878953521602,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.3225126573632665
657,0.010612888021427569,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,8.064801578762424
676,0.010298759358598364,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.959879178928251
703,0.00962972228308745,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.496288069420126
720,0.009553713122944618,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,0.7893182992029301
732,0.00840518389402023,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,12.021809888409045
824,0.00837585424561782,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.34894713515162873
835,0.00836883783485165,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.08376949455442813
846,0.007705719070909556,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.923666069625175
854,0.007695390466761598,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.13403816117499107
877,0.007351862519243912,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.464074292285395
923,0.006960537308036141,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.3228037137998125
985,0.006958177256706666,HOG8-ML06-H2-GPS-Spray-Specialist-Polisher,Polisher,0.03390616593277228
993,0.006639334354748616,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.582276222565784
1015,0.006539281018362875,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.5069784264469346
1057,0.006445301170658002,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.437158724957207
1079,0.006275626188334105,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.632537686467416
1088,0.006104904795855237,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.7203881709242843
1148,0.006073096524780386,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,0.5210281263754788
1163,0.005619988089528238,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.460912788118952
1243,0.0055974603785711174,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.40084979893635275
1272,0.005265041635855727,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.938742219382138
1356,0.0051990495253133595,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.2534014943576426
1368,0.004741045783454911,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,8.80937447563251
1447,0.004633234127510821,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.274005796786994
1462,0.004633092252874338,HOG8-ML06-H1-GPS-Spray-Specialist-Polisher,Polisher,0.003062108077832647
1471,0.0043664763786464,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.754598865639492
1482,0.004267599985095405,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.264443569064871
1555,0.00424835754540398,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.4508960483322954
1586,0.004128723663658906,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.8160031368945813
1634,0.0039014782091340017,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.504012209030189
1786,0.003897202829361124,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.10958358713547275
1847,0.003841915776803706,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.4186342096667612
1868,0.0038146033384554023,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.7109067437971357
1888,0.003788131497050262,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.6939605263350668
1942,0.0035190846412587184,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.102363157167191
1965,0.003390756133324846,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.646644540154383
1994,0.0033434151531364087,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.3961776762169116
2096,0.0030993103354650664,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.301062132303586
2203,0.0030584879830155565,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.317143107044953
2213,0.003055337062559449,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.10302216237583026
2303,0.003002944098259963,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.7148014515817884
2311,0.0029783362584550055,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.8194571393858606
2344,0.0029157231133507544,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.102285963396601
2396,0.002829332571533616,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.962919950168323
2414,0.0028269394896622835,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.08458114452184459
2458,0.002720705325199635,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.7579214147006614
2512,0.0026387312768290094,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.012970482740925
2595,0.002441936001936984,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.457950592396674
2932,0.00243845444982016,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.14257343820896534
2940,0.0023045327424964235,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.49207336366744
2973,0.002280202807825038,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.05574263375532
2982,0.0022518018944315266,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.2455433041327393
3009,5.250833101655417E-09,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,99.99976681638316
3009,3.1868485628194776E-09,HOG8-ML01-H2-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,39.30775362456735
3015,0,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
10000,0,Final,Final,0
