Problem,OffSuccessPct,OnSuccessPct,DeltaSuccessPct,OffMedian,OnMedian,OffMean,OnMean,OffStdDev,OnStdDev
Ackley 30D,0.0,100.0,100.0,0.0007182989,0.0,0.0007105064,0.0,0.000169052,0.0
Hybrid F2 30D,0.0,23.3,23.3,1.887298,0.004505046,3.622886,0.04491868,3.555918,0.1650641
Shifted Rosenbrock 30D,0.0,6.7,6.7,0.002404417,0.001274846,0.002890933,0.001176232,0.002516805,0.0003859288
