Problem,Mean,Median,StdDev,Success,Runs,Best,Worst,Q1,Q3,IQR,Outliers,CILower,CIUpper
Ackley 30D,7.411437E-004,7.414623E-004,9.961859E-005,0.0 %,30,5.447603E-004,9.653164E-004,6.722895E-004,8.263381E-004,1.540486E-004,0,7.033139E-004,7.789736E-004
Hybrid F2 30D,4.413267E+000,3.280543E+000,4.176157E+000,0.0 %,30,6.800024E-003,1.152352E+001,5.315612E-001,8.720721E+000,8.189159E+000,0,2.827384E+000,5.999150E+000
Rosenbrock 30D,4.410024E-003,4.763420E-003,2.129720E-003,0.0 %,30,2.912478E-008,6.208723E-003,4.069750E-003,6.206846E-003,2.137096E-003,5,3.601269E-003,5.218778E-003
Schwefel 2.22 30D,7.839299E-003,8.707103E-003,4.234306E-003,6.7 %,30,1.361212E-012,1.363269E-002,7.799638E-003,1.024164E-002,2.442007E-003,6,6.231334E-003,9.447263E-003
Shifted Rastrigin 30D,1.166406E-003,9.712129E-004,7.675850E-004,0.0 %,30,2.860819E-004,4.060930E-003,7.807089E-004,1.278606E-003,4.978968E-004,2,8.749178E-004,1.457894E-003
Shifted Rosenbrock 30D,1.362309E-001,4.554545E-003,7.115076E-001,0.0 %,30,8.881908E-009,3.967798E+000,3.636616E-003,6.207030E-003,2.570414E-003,1,-1.339620E-001,4.064237E-001
