Problem,Mean,Median,StdDev,Success,Runs,Best,Worst,Q1,Q3,IQR,Outliers,CILower,CIUpper
Ackley 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Hybrid F2 30D,4.491868E-002,4.505046E-003,1.650641E-001,23.3 %,30,0.000000E+000,8.383477E-001,8.431897E-004,4.747659E-003,3.904469E-003,2,-1.776392E-002,1.076013E-001
Rosenbrock 30D,1.166289E-003,1.260865E-003,3.496429E-004,6.7 %,30,0.000000E+000,1.502579E-003,1.066789E-003,1.361962E-003,2.951727E-004,2,1.033513E-003,1.299064E-003
Schwefel 2.22 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Shifted Rastrigin 10D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Shifted Rosenbrock 30D,1.176232E-003,1.274846E-003,3.859288E-004,6.7 %,30,0.000000E+000,1.670813E-003,1.187102E-003,1.320971E-003,1.338686E-004,7,1.029676E-003,1.322787E-003
