Source,0-5%,5-10%,10-15%,15-20%,20-25%,25-30%,30-35%,35-40%,40-45%,45-50%,50-55%,55-60%,60-65%,65-70%,70-75%,75-80%,80-85%,85-90%,90-95%,95-100%
GradientEstimation-Escape,0.706853,1.000000,1.000000,1.000000,1.000000,1.000000,0.573278,0.160403,0.173299,0.219922,0.224918,0.131544,0.157035,0.199920,0.215195,0.152025,0.003234,0.000592,0.000000,0.010974
Sniper,0.009252,0.000000,0.000000,0.000000,0.000000,0.000000,0.425188,0.835242,0.824796,0.779058,0.774310,0.866463,0.842807,0.798106,0.783406,0.845523,0.996766,0.999255,1.000000,0.988504
Spray,0.231099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000388,0.001957,0.001112,0.000846,0.000000,0.000132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
JADE,0.052796,0.000000,0.000000,0.000000,0.000000,0.000000,0.001145,0.002397,0.000793,0.000173,0.000772,0.001861,0.000157,0.001973,0.001399,0.002452,0.000000,0.000153,0.000000,0.000522
